,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,69,74,179,123,60,145,253,266,149,251,334,415
Expenses +,60,60,147,108,51,126,219,225,129,215,290,355
Operating Profit,9,13,31,15,9,19,34,40,20,36,44,60
OPM %,14%,18%,17%,12%,14%,13%,14%,15%,13%,14%,13%,14%
Other Income +,0,0,0,1,0,3,5,4,4,2,2,2
Interest,1,1,1,1,1,1,2,3,1,1,1,1
Depreciation,1,1,1,1,1,1,2,2,2,3,3,3
Profit before tax,8,12,29,14,7,20,35,40,21,34,41,58
Tax %,26%,25%,25%,26%,25%,25%,26%,26%,25%,25%,26%,26%
Net Profit +,6,9,22,11,5,15,26,30,15,26,30,43
EPS in Rs,9.91,16.14,38.32,2.07,0.98,2.70,4.64,5.26,2.74,4.56,5.38,7.59
Raw PDF,,,,,,,,,,,,
