,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"4,351","3,795","3,490","3,297","3,671","3,179","3,043","3,348","3,579","2,856","4,001","4,662","5,268"
Expenses +,"2,724","2,936","3,200","2,849","2,931","2,600","2,666","2,592","2,491","1,935","2,469","2,351","2,525"
Operating Profit,"1,627",859,290,448,740,579,378,756,"1,088",921,"1,533","2,311","2,743"
OPM %,37%,23%,8%,14%,20%,18%,12%,23%,30%,32%,38%,50%,52%
Other Income +,142,52,69,61,55,48,69,50,511,61,72,99,126
Interest,16,4,4,4,1,2,4,2,9,3,4,19,32
Depreciation,384,150,154,157,255,170,186,154,240,174,180,286,88
Profit before tax,"1,368",757,201,347,539,455,256,650,"1,350",804,"1,420","2,105","2,748"
Tax %,25%,26%,38%,26%,8%,27%,27%,28%,26%,27%,26%,26%,25%
Net Profit +,"1,025",558,125,256,495,334,187,471,997,588,"1,046","1,566","2,067"
EPS in Rs,5.58,3.04,0.68,1.40,2.70,1.82,1.02,2.56,5.43,3.20,5.70,8.53,11.26
Raw PDF,,,,,,,,,,,,,
