,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,867,938,926,987,951,999,956,"1,033",973,"1,036",982,"1,050","1,022"
Expenses +,748,817,820,844,797,837,814,866,812,867,833,884,863
Operating Profit,119,121,106,143,155,162,142,166,162,169,149,167,159
OPM %,14%,13%,11%,14%,16%,16%,15%,16%,17%,16%,15%,16%,16%
Other Income +,7,4,5,12,6,8,9,8,10,10,9,6,3
Interest,6,2,3,3,6,3,3,3,3,2,2,3,2
Depreciation,19,19,20,21,22,19,21,20,22,22,25,23,22
Profit before tax,102,104,88,132,133,148,127,152,147,154,132,146,138
Tax %,26%,26%,26%,26%,28%,26%,26%,25%,26%,26%,26%,26%,21%
Net Profit +,75,77,65,97,95,110,94,114,109,115,98,109,108
EPS in Rs,16.40,16.89,14.36,21.39,20.95,24.13,20.68,24.99,23.87,25.16,21.50,23.85,23.80
Raw PDF,,,,,,,,,,,,,
