,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,547","1,442","1,302","1,495","1,456","1,423","1,348","1,521","2,135","1,362","1,975","1,529","3,128"
Expenses +,"1,180","1,028",866,"1,018","1,058","1,027",885,"1,010","1,381","1,134","1,473","1,129","2,150"
Operating Profit,368,414,437,477,398,396,462,511,754,229,502,400,978
OPM %,24%,29%,34%,32%,27%,28%,34%,34%,35%,17%,25%,26%,31%
Other Income +,105,75,58,65,120,98,129,122,182,367,206,-94,220
Interest,128,105,107,95,85,85,90,84,98,101,94,94,109
Depreciation,37,37,37,39,36,36,37,38,37,37,38,39,37
Profit before tax,307,346,351,408,397,373,464,512,802,458,577,174,"1,053"
Tax %,27%,25%,26%,27%,28%,27%,24%,26%,21%,26%,-81%,-154%,17%
Net Profit +,406,469,477,518,570,526,622,656,920,645,"1,381","1,059","1,282"
EPS in Rs,1.64,1.90,1.93,2.10,2.30,2.13,2.52,2.65,3.72,2.61,5.58,4.28,5.18
Raw PDF,,,,,,,,,,,,,
