,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,782,798,793,876,977,967,992,899,959,946,911,962,"1,012"
Expenses +,693,700,685,756,833,826,846,765,813,807,771,785,837
Operating Profit,89,99,108,120,144,141,145,134,146,139,140,177,175
OPM %,11%,12%,14%,14%,15%,15%,15%,15%,15%,15%,15%,18%,17%
Other Income +,9,11,12,26,18,21,24,29,20,25,39,17,27
Interest,1,1,2,2,0,1,1,1,1,2,1,1,1
Depreciation,21,23,27,28,27,28,27,26,29,29,31,32,32
Profit before tax,77,86,90,116,135,134,141,135,136,134,146,161,169
Tax %,26%,28%,24%,26%,25%,25%,25%,26%,26%,26%,25%,22%,25%
Net Profit +,57,62,69,85,101,100,106,101,100,99,109,125,127
EPS in Rs,29.84,32.90,36.19,45.03,53.36,52.58,55.72,53.16,52.83,52.42,57.53,66.14,66.81
Raw PDF,,,,,,,,,,,,,
