,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"3,311","3,544","3,662","3,660","4,063","4,158","4,130","4,205","4,233","4,317","4,394","4,466","4,911"
Expenses +,"2,870","3,095","3,230","3,256","3,541","3,690","3,639","3,627","3,676","3,797","3,834","3,883","4,264"
Operating Profit,441,449,431,404,522,468,491,578,557,520,560,583,647
OPM %,13%,13%,12%,11%,13%,11%,12%,14%,13%,12%,13%,13%,13%
Other Income +,87,57,150,131,136,187,939,214,226,179,257,142,237
Interest,7,4,2,2,5,31,12,4,4,3,2,6,6
Depreciation,89,65,92,108,121,92,101,117,119,86,90,101,99
Profit before tax,431,438,487,425,533,532,"1,317",671,661,611,726,618,778
Tax %,19%,24%,24%,25%,25%,23%,24%,23%,15%,24%,26%,26%,29%
Net Profit +,351,334,374,320,398,409,"1,000",518,564,466,537,459,554
EPS in Rs,118.97,113.28,126.67,108.40,134.98,138.78,338.99,175.70,191.23,158.10,181.97,155.53,187.67
Raw PDF,,,,,,,,,,,,,
