,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,556","1,663","1,668","1,771","1,815","2,002","1,963","2,116"
Expenses +,"1,261","1,334","1,374","1,460","1,479","1,621","1,601","1,714"
Operating Profit,296,329,294,311,336,381,362,402
OPM %,19%,20%,18%,18%,19%,19%,18%,19%
Other Income +,15,-2,22,12,23,36,-3,-6
Interest,52,59,61,65,59,46,32,39
Depreciation,67,70,84,91,94,97,97,97
Profit before tax,191,198,171,167,207,273,230,261
Tax %,26%,26%,30%,27%,26%,26%,32%,24%
Net Profit +,141,146,120,121,153,202,156,197
EPS in Rs,7.21,7.69,6.27,6.36,7.95,10.29,8.11,9.97
Raw PDF,,,,,,,,
