,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"4,717","5,049","5,033","5,855","5,986","6,658","7,896"
Expenses +,"3,968","4,340","3,817","4,525","4,804","5,429","6,422"
Operating Profit,749,708,"1,216","1,330","1,182","1,230","1,474"
OPM %,16%,14%,24%,23%,20%,18%,19%
Other Income +,72,-25,-159,63,39,47,57
Interest,223,257,155,176,214,237,176
Depreciation,267,321,250,245,260,312,384
Profit before tax,331,105,652,973,747,727,971
Tax %,37%,4%,36%,28%,25%,27%,27%
Net Profit +,209,101,419,703,562,528,707
EPS in Rs,10.79,4.62,23.15,36.62,29.42,27.50,35.96
Dividend Payout %,32%,0%,4%,8%,7%,7%,8%
