,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,545,346,212,557,560,371,381,399,565,494,518,328,731
Expenses +,393,222,148,443,374,278,260,293,339,305,343,220,465
Operating Profit,152,125,64,114,186,93,121,107,226,188,175,108,267
OPM %,28%,36%,30%,20%,33%,25%,32%,27%,40%,38%,34%,33%,36%
Other Income +,16,11,22,12,52,14,11,10,20,7,9,16,46
Interest,5,4,4,5,3,4,4,4,4,3,1,1,2
Depreciation,55,55,50,9,61,41,46,30,59,38,48,38,52
Profit before tax,109,76,32,111,174,62,83,82,184,154,135,84,259
Tax %,18%,25%,19%,28%,24%,24%,27%,23%,32%,26%,25%,26%,27%
Net Profit +,89,57,26,80,132,47,61,63,124,113,102,63,187
EPS in Rs,0.92,0.59,0.27,0.83,1.37,0.49,0.63,0.65,1.29,1.17,1.05,0.65,1.94
Raw PDF,,,,,,,,,,,,,
