,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,188,226,255,305,252,293,324,375,315,361,381,430,321
Expenses +,169,189,196,209,220,236,247,253,267,278,273,293,276
Operating Profit,19,38,59,96,32,57,77,123,48,83,108,137,45
OPM %,10%,17%,23%,32%,13%,20%,24%,33%,15%,23%,28%,32%,14%
Other Income +,10,7,9,8,13,9,11,15,23,19,8,14,29
Interest,1,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,6,6,6,7,7,7,7,7,8,8,9,9,9
Profit before tax,23,37,61,96,37,59,80,129,61,93,107,141,64
Tax %,16%,19%,23%,17%,18%,18%,15%,18%,23%,24%,17%,23%,22%
Net Profit +,19,30,47,80,30,48,68,105,48,70,89,108,50
EPS in Rs,1.37,2.14,3.38,5.71,2.16,3.41,4.88,7.50,3.39,5.01,6.34,7.65,3.51
Raw PDF,,,,,,,,,,,,,
