,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"4,364","4,415","4,038","4,299","5,100","5,036","4,774","5,193","5,401","5,124","4,054","4,573","5,532"
Expenses +,"3,445","3,614","3,495","3,573","4,211","4,091","3,888","3,930","3,979","4,197","3,441","3,608","4,103"
Operating Profit,919,801,543,727,889,945,886,"1,264","1,422",927,613,965,"1,429"
OPM %,21%,18%,13%,17%,17%,19%,19%,24%,26%,18%,15%,21%,26%
Other Income +,137,-20,159,174,146,169,132,147,150,139,181,111,158
Interest,52,55,66,70,71,74,67,55,62,56,56,52,41
Depreciation,297,350,396,443,473,339,412,444,702,704,716,799,788
Profit before tax,707,376,240,388,491,700,539,913,807,306,23,225,758
Tax %,7%,26%,24%,27%,-7%,18%,17%,23%,16%,9%,-229%,14%,24%
Net Profit +,659,279,183,282,525,572,447,702,676,278,77,194,575
EPS in Rs,182.16,77.47,50.82,78.18,145.72,158.62,123.79,194.53,187.05,77.22,21.19,53.60,159.18
Raw PDF,,,,,,,,,,,,,
