,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,183","1,051","1,173","1,086","1,433",995,"1,111","1,032","1,326","1,158","1,094","1,012",801
Expenses +,"1,059",935,995,917,"1,279",849,979,916,"1,130",984,935,860,838
Operating Profit,124,116,179,169,154,146,133,117,196,175,158,152,-37
OPM %,10%,11%,15%,16%,11%,15%,12%,11%,15%,15%,14%,15%,-5%
Other Income +,30,13,-4,25,14,13,18,47,14,10,15,21,14
Interest,38,38,39,37,38,36,35,37,40,42,45,47,51
Depreciation,23,20,21,20,21,21,21,19,20,24,25,26,30
Profit before tax,93,71,114,137,109,103,94,108,149,119,102,100,-105
Tax %,27%,25%,26%,26%,28%,26%,25%,24%,27%,7%,28%,28%,-21%
Net Profit +,68,53,84,102,79,76,70,82,109,111,73,73,-83
EPS in Rs,0.47,0.37,0.59,0.70,0.52,0.49,0.49,0.58,0.76,0.77,0.51,0.51,-0.56
Raw PDF,,,,,,,,,,,,,
