,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,232,232,236,250,285,295,311,306,383,388,408,440,480
Expenses +,194,204,195,213,225,228,258,291,334,349,355,363,394
Operating Profit,38,28,41,37,60,67,53,15,49,38,53,77,86
OPM %,16%,12%,17%,15%,21%,23%,17%,5%,13%,10%,13%,17%,18%
Other Income +,4,4,7,7,-32,8,25,10,9,-49,8,-26,10
Interest,0,0,0,0,0,0,0,1,-0,0,0,0,1
Depreciation,4,5,3,4,4,4,4,4,4,4,9,9,18
Profit before tax,37,27,44,39,23,71,73,20,54,-15,51,42,78
Tax %,24%,26%,26%,26%,26%,25%,29%,23%,27%,-22%,25%,27%,26%
Net Profit +,28,20,33,29,17,54,52,16,39,-12,38,31,58
EPS in Rs,11.19,8.06,13.02,11.72,6.91,21.54,20.95,6.32,15.79,-4.72,15.37,12.34,23.30
Raw PDF,,,,,,,,,,,,,
