,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"8,021","12,855","12,498","14,933","14,161","16,683","14,944","19,452","17,825","19,571","16,970","22,111","22,152"
Expenses +,"7,983","12,257","12,470","11,815","11,409","11,709","12,744","14,303","13,832","14,412","15,338","16,932","16,062"
Operating Profit,38,599,27,"3,118","2,752","4,974","2,200","5,149","3,994","5,159","1,631","5,179","6,089"
OPM %,0%,5%,0%,21%,19%,30%,15%,26%,22%,26%,10%,23%,27%
Other Income +,187,164,355,477,440,478,559,610,680,678,789,882,946
Interest,633,657,728,829,918,954,"1,021","1,095","1,099","1,158","1,240","1,308","1,374"
Depreciation,"1,269","1,170","1,238","1,342","1,353","1,408","1,549","1,666","1,803","1,876","2,088","2,226","2,491"
Profit before tax,"-1,678","-1,064","-1,583","1,423",920,"3,091",189,"2,998","1,771","2,804",-907,"2,527","3,169"
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,-7%,3%,9%,3%,3%
Net Profit +,"-1,682","-1,064","-1,583","1,423",919,"3,091",189,"2,998","1,895","2,729",-987,"2,449","3,068"
EPS in Rs,-43.65,-27.62,-41.08,36.91,23.84,80.16,4.90,77.68,49.09,70.70,-25.54,63.38,79.38
Raw PDF,,,,,,,,,,,,,
